iter	Passed	Remaining
0	153	153715
1	155	77586
2	157	52222
3	158	39521
4	161	32172
5	163	27141
6	165	23490
7	167	20716
8	168	18563
9	170	16837
10	171	15432
11	173	14258
12	175	13310
13	177	12517
14	179	11789
15	181	11133
16	182	10557
17	184	10058
18	185	9601
19	187	9185
20	189	8812
21	191	8526
22	193	8230
23	195	7952
24	197	7696
25	198	7446
26	200	7224
27	202	7016
28	203	6815
29	205	6649
30	207	6491
31	209	6330
32	210	6173
33	212	6025
34	213	5884
35	214	5753
36	216	5627
37	217	5510
38	219	5419
39	221	5324
40	223	5226
41	225	5134
42	227	5054
43	228	4967
44	230	4883
45	231	4807
46	233	4735
47	235	4673
48	237	4603
49	238	4532
50	240	4471
51	241	4408
52	243	4346
53	244	4284
54	245	4225
55	247	4168
56	248	4116
57	250	4071
58	252	4024
59	253	3975
60	255	3927
61	256	3883
62	258	3842
63	259	3800
64	261	3762
65	263	3726
66	265	3697
67	267	3665
68	268	3629
69	270	3593
70	271	3557
71	273	3523
72	274	3491
73	276	3459
74	278	3434
75	280	3407
76	281	3378
77	283	3348
78	291	3393
79	292	3362
80	294	3342
81	296	3318
82	297	3282
83	298	3255
84	299	3227
85	301	3201
86	302	3175
87	303	3149
88	305	3125
89	306	3100
90	308	3083
91	310	3063
92	312	3045
93	313	3025
94	315	3003
95	316	2982
96	318	2964
97	320	2946
98	321	2927
99	325	2931
100	327	2914
101	328	2896
102	330	2878
103	332	2860
104	333	2843
105	335	2826
106	336	2808
107	338	2793
108	340	2780
109	341	2763
110	342	2746
111	344	2730
112	345	2714
113	347	2697
114	348	2681
115	349	2667
116	350	2648
117	352	2635
118	354	2624
119	356	2611
120	357	2596
121	358	2581
122	360	2567
123	361	2556
124	363	2545
125	365	2532
126	366	2518
127	368	2513
128	371	2504
129	372	2492
130	374	2481
131	375	2470
132	377	2459
133	378	2448
134	380	2437
135	383	2436
136	385	2427
137	386	2417
138	388	2407
139	390	2396
140	391	2387
141	393	2374
142	394	2364
143	397	2360
144	399	2356
145	401	2347
146	403	2339
147	404	2330
148	406	2321
149	408	2313
150	410	2305
151	414	2309
152	415	2301
153	417	2295
154	419	2287
155	421	2281
156	424	2277
157	426	2274
158	429	2270
159	431	2263
160	432	2252
161	433	2243
162	435	2234
163	436	2225
164	438	2217
165	439	2208
166	443	2213
167	445	2208
168	447	2200
169	449	2193
170	450	2184
171	452	2176
172	453	2169
173	457	2171
174	459	2165
175	460	2157
176	462	2150
177	463	2142
178	465	2134
179	467	2127
180	469	2122
181	473	2127
182	475	2120
183	476	2114
184	478	2106
185	479	2099
186	481	2092
187	482	2085
188	485	2081
189	489	2084
190	491	2082
